html_file,image_reference,count
mda/04-collapse-mechanisms/MDA-028-phantom-money.html,../images/mda/The_1962_Software_Crash conv 10.webp,1
mda/04-collapse-mechanisms/MDA-028-phantom-money.html,../images/mda/The_Observer_Collapsed conv 2.webp,1
mda/04-collapse-mechanisms/MDA-029-observer-collapsed.html,../images/mda/Signal_Blackout conv 12.webp,1
mda/04-collapse-mechanisms/MDA-029-observer-collapsed.html,../images/mda/The_Observer_Collapsed conv 11.webp,1
mda/04-collapse-mechanisms/MDA-030-trinity-mechanism.html,../images/mda/PHASE_TRANSITION conv 6.webp,1
mda/04-collapse-mechanisms/MDA-030-trinity-mechanism.html,../images/mda/Phantom_Money_Phantom_Morals conv 4.webp,1
mda/04-collapse-mechanisms/MDA-032-why-bad-is-easier.html,../images/mda/The_1962_Software_Crash conv 5.webp,1
mda/04-collapse-mechanisms/MDA-032-why-bad-is-easier.html,../images/mda/The_1962_Software_Crash conv 8.webp,1
mda/04-collapse-mechanisms/MDA-033-entropic-society.html,../images/mda/PHASE_TRANSITION conv 9.webp,1
media/index.html,/images/architecture/framework-spine.webp,1
media/index.html,/images/diagrams/master-equation-full.webp,1
media/index.html,/images/diagrams/ten-laws-map.webp,1
media/index.html,/images/gtq/gtq-01-measurement.webp,1
media/index.html,/images/gtq/gtq-02-threshold.webp,1
media/index.html,/images/gtq/gtq-03-first-state.webp,1
media/index.html,/images/logos-story/lgs-01-hero.webp,1
media/index.html,/images/logos-story/lgs-02-hero.webp,1
media/index.html,/images/logos-story/lgs-03-hero.webp,1
media/index.html,/images/logos-story/lgs-04-hero.webp,1
media/index.html,/images/logos-story/lgs-05-hero.webp,1
media/index.html,/images/logos-story/lgs-06-hero.webp,1
media/index.html,/images/logos-story/lgs-07-hero.webp,1
media/index.html,/images/logos-story/lgs-08-hero.webp,1
media/index.html,/images/logos-story/lgs-09-hero.webp,1
media/index.html,/images/logos-story/lgs-10-hero.webp,1
media/index.html,/images/logos-story/lgs-11-hero.webp,1
