"canonical_order","group","file","status","sha256","source","sorted_copy"
"12","02-method-and-metrics","MDA-003-measuring-moral-health.html","copied","C96397AAB167A2C2FB137B6556918AFC8D9B0458CAF0B92B5A4176C56EA84E7D","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-003-measuring-moral-health.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-003-measuring-moral-health.html"
"13","02-method-and-metrics","MDA-004-facts-framework.html","copied","D04F0F44FFEC165875B6BD9CAECD3B7C0269BA371D7EDE8FFDC130824C484DAF","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-004-facts-framework.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-004-facts-framework.html"
"14","02-method-and-metrics","MDA-006-research-method.html","copied","3E44FF51A7E5D67E3A48DC9ABD6827F0B01443D17628C4966A74FE6CB2DBB347","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-006-research-method.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-006-research-method.html"
"15","02-method-and-metrics","MDA-007-nine-domains.html","copied","2A860C456D5E060F04DF2202609A814BC342A33C53364C11077247EDB9565516","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-007-nine-domains.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-007-nine-domains.html"
"16","02-method-and-metrics","MDA-037-biaxiosum-audit.html","copied","D2D3C65E7BBAA9ADF14CA21B5C1A2E47E782FCF3F50F4AF1AA2077835C39D19C","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-037-biaxiosum-audit.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-037-biaxiosum-audit.html"
"17","02-method-and-metrics","MDA-038-coherence-metric.html","copied","48DAF6DB3367E9F4F97D2D0499743DA369C5469103A8A1A826D218F154066AB3","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-038-coherence-metric.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-038-coherence-metric.html"
"18","02-method-and-metrics","MDA-039-physics-of-coherence.html","copied","D4717DE6FE50260B21D67ABCA5763A082C9FF448923055CD98E06E31FD077BFF","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-039-physics-of-coherence.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-039-physics-of-coherence.html"
"19","02-method-and-metrics","MDA-040-statistical-synthesis.html","copied","7FDF2BF990AB1A6E6935D6646989196F1D49265BC323E0AE19CA906CD3719009","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-040-statistical-synthesis.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-040-statistical-synthesis.html"
"20","02-method-and-metrics","MDA-041-statistical-spine.html","copied","333C13C701DB3E4CC55EA43CC6B2B7B087B9F2AE429B13750B1AD67118043CE5","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-041-statistical-spine.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\02-method-and-metrics\MDA-041-statistical-spine.html"
"21","03-evidence-chronology","MDA-005-empirical-evidence.html","copied","8EDF4761F847ECC7C6FF9FDC895FE19E86138E40DA93845B8B42CD609C1F8210","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-005-empirical-evidence.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\03-evidence-chronology\MDA-005-empirical-evidence.html"
