lane,equation_count
consciousness,626
genesis-to-quantum,415
revolution-of-truth,173
isomorphism,119
convergence-deep,97
forge-proofs,60
proof-architecture,55
moral-decline,43
mda,41
cross-domain,13
Introduction to Theophysics,13
duality-project,12
data-viz,4
formal-papers,2
one-page-stories,1
